,Tickers,Company,Sector,Sub_industry,HeadQuarters,Founded
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1902
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
6,ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",1982
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",1969
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1932
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
10,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida",1993
11,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1955
12,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1999
13,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
14,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
15,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",1985
16,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
17,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1994
18,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",1992
19,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",1997
20,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1908
21,AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",1983
22,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1996
23,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",1917
24,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1931
25,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",1998
26,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",1998
27,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",1985
28,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1994
29,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",
30,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
31,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",1934
32,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1906
33,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1850
34,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1919
35,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",1995
36,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",1886
37,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
38,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1985
39,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
40,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1980
41,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
42,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1965
43,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
44,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1940s)
45,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1982 (1919)
46,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",1916
47,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
48,AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",1994 (1975)
49,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
50,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1967
51,APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",1994
52,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1902
53,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",2016
54,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2004
55,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",
56,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",
57,ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",1906
58,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983
59,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",
60,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",
61,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",
62,AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",
63,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",
64,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017
65,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",
